source_cell,target_cell,cio_db,distance_km,handover_count_monthly,handover_success_rate,ping_pong_rate
CELL_012_2,CELL_003_0,5.4,0.166,2523,0.9441,0.0501
CELL_012_2,CELL_003_1,-2.9,0.166,2995,0.9562,0.0143
CELL_012_2,CELL_003_2,-4.6,0.166,2563,0.8976,0.058
CELL_012_2,CELL_008_0,5.1,0.597,2597,0.9559,0.0547
CELL_012_2,CELL_008_1,5.3,0.597,3060,0.9476,0.0253
CELL_012_2,CELL_008_2,-4.4,0.597,1304,0.93,0.0792
CELL_013_0,CELL_013_1,-1.0,0.0,4549,0.9804,0.063
CELL_013_0,CELL_013_2,3.6,0.0,1839,0.9638,0.0576
CELL_013_0,CELL_016_0,1.1,1.072,720,0.9378,0.047
CELL_013_0,CELL_016_1,-1.7,1.072,4671,0.8923,0.068
CELL_013_0,CELL_016_2,4.8,1.072,1706,0.943,0.0205
CELL_013_0,CELL_009_0,-2.1,1.334,4312,0.9286,0.0576
CELL_013_0,CELL_009_1,2.6,1.334,4054,0.89,0.0457
CELL_013_0,CELL_009_2,3.7,1.334,3764,0.8945,0.0391
CELL_013_0,CELL_000_0,0.8,1.905,4627,0.9309,0.0665
CELL_013_0,CELL_000_1,2.7,1.905,3293,0.908,0.0102
CELL_013_1,CELL_013_0,0.9,0.0,421,0.9266,0.059
CELL_013_1,CELL_013_2,0.5,0.0,543,0.9828,0.0148
CELL_013_1,CELL_016_0,5.2,1.072,309,0.9116,0.0226
CELL_013_1,CELL_016_1,-4.4,1.072,3493,0.9212,0.0724
CELL_013_1,CELL_016_2,-0.6,1.072,3142,0.9213,0.0578
CELL_013_1,CELL_009_0,1.9,1.334,4467,0.8946,0.0702
CELL_013_1,CELL_009_1,-4.6,1.334,4451,0.9232,0.0189
CELL_013_1,CELL_009_2,5.7,1.334,78,0.9632,0.0785
CELL_013_1,CELL_000_0,-0.4,1.905,4510,0.9267,0.0365
CELL_013_2,CELL_013_0,-3.0,0.0,2885,0.8971,0.0232
CELL_013_2,CELL_013_1,4.5,0.0,974,0.8835,0.0562
CELL_013_2,CELL_016_0,1.4,1.072,178,0.9065,0.0147
CELL_013_2,CELL_016_1,1.1,1.072,3707,0.9458,0.0592
CELL_013_2,CELL_016_2,-5.4,1.072,412,0.9242,0.0264
CELL_013_2,CELL_009_0,-3.4,1.334,512,0.8954,0.0795
CELL_013_2,CELL_009_1,-3.2,1.334,4769,0.9151,0.0519
CELL_013_2,CELL_009_2,2.1,1.334,2676,0.9061,0.0713
CELL_013_2,CELL_000_0,5.8,1.905,4320,0.9043,0.031
CELL_014_0,CELL_014_1,0.7,0.0,4896,0.9768,0.0738
CELL_014_0,CELL_014_2,1.5,0.0,3549,0.9411,0.0133
CELL_014_0,CELL_015_0,-1.9,0.08,3172,0.9664,0.0323
CELL_014_0,CELL_015_1,-1.0,0.08,1272,0.913,0.0229
CELL_014_0,CELL_015_2,0.5,0.08,2024,0.9734,0.0311
CELL_014_0,CELL_006_0,2.5,0.147,3843,0.9806,0.0494
CELL_014_0,CELL_006_1,5.6,0.147,4615,0.9383,0.0372
CELL_014_0,CELL_006_2,-2.9,0.147,2755,0.9511,0.0746
CELL_014_1,CELL_014_0,-4.9,0.0,1610,0.8857,0.0364
CELL_014_1,CELL_014_2,1.3,0.0,373,0.9761,0.0232
CELL_014_1,CELL_015_0,3.1,0.08,4628,0.9039,0.0246
CELL_014_1,CELL_015_1,4.9,0.08,2533,0.9853,0.0111
CELL_014_1,CELL_015_2,5.2,0.08,1011,0.9622,0.0628
CELL_014_1,CELL_006_0,5.0,0.147,1725,0.9236,0.0268
CELL_014_1,CELL_006_1,-2.1,0.147,2368,0.9219,0.0474
CELL_014_1,CELL_006_2,-1.7,0.147,2192,0.9196,0.0718
CELL_014_1,CELL_024_0,-0.4,0.592,3896,0.9638,0.0324
CELL_014_1,CELL_024_1,-3.6,0.592,2613,0.9255,0.0494
CELL_014_2,CELL_014_0,2.9,0.0,182,0.9087,0.0754
CELL_014_2,CELL_014_1,0.9,0.0,3470,0.9125,0.0237
CELL_014_2,CELL_015_0,-3.2,0.08,4717,0.9717,0.045
CELL_014_2,CELL_015_1,1.9,0.08,2815,0.9083,0.0675
CELL_014_2,CELL_015_2,5.6,0.08,4068,0.9307,0.0613
CELL_014_2,CELL_006_0,-1.8,0.147,1196,0.9592,0.0442
CELL_014_2,CELL_006_1,5.0,0.147,4491,0.9889,0.077
CELL_014_2,CELL_006_2,0.3,0.147,658,0.984,0.0568
CELL_014_2,CELL_024_0,3.2,0.592,3428,0.8951,0.0541
CELL_015_0,CELL_015_1,2.5,0.0,124,0.9041,0.0419
CELL_015_0,CELL_015_2,-5.3,0.0,4008,0.9525,0.0111
CELL_015_0,CELL_014_0,0.4,0.08,3419,0.8813,0.0471
CELL_015_0,CELL_014_1,-2.7,0.08,2398,0.8819,0.0669
CELL_015_0,CELL_014_2,2.1,0.08,1518,0.8918,0.0167
CELL_015_0,CELL_006_0,-4.2,0.225,1622,0.9482,0.0277
CELL_015_0,CELL_006_1,-1.7,0.225,3301,0.8887,0.0772
CELL_015_0,CELL_006_2,-0.5,0.225,2042,0.9889,0.0258
CELL_015_1,CELL_015_0,1.8,0.0,309,0.8903,0.0365
CELL_015_1,CELL_015_2,0.6,0.0,509,0.95,0.0592
CELL_015_1,CELL_014_0,-5.0,0.08,3604,0.9509,0.0332
CELL_015_1,CELL_014_1,5.7,0.08,831,0.9784,0.0743
CELL_015_1,CELL_014_2,-3.2,0.08,4693,0.9323,0.0133
CELL_015_1,CELL_006_0,-5.1,0.225,2346,0.9789,0.0494
CELL_015_1,CELL_006_1,-5.6,0.225,2626,0.8817,0.0245
CELL_015_1,CELL_006_2,-4.3,0.225,3312,0.9822,0.0309
CELL_015_2,CELL_015_0,-3.1,0.0,3237,0.9545,0.0478
CELL_015_2,CELL_015_1,-1.4,0.0,1196,0.967,0.0583
CELL_015_2,CELL_014_0,-5.1,0.08,2883,0.8859,0.0406
CELL_015_2,CELL_014_1,4.1,0.08,2840,0.9466,0.053
CELL_015_2,CELL_014_2,1.1,0.08,2723,0.8833,0.0291
CELL_015_2,CELL_006_0,5.9,0.225,4069,0.9051,0.0487
CELL_015_2,CELL_006_1,-1.5,0.225,1571,0.9548,0.0562
CELL_015_2,CELL_006_2,-5.0,0.225,2469,0.9678,0.0599
CELL_015_2,CELL_002_0,-5.0,0.588,1313,0.9218,0.0649
CELL_015_2,CELL_002_1,-4.1,0.588,3241,0.9148,0.0175
CELL_015_2,CELL_002_2,-5.9,0.588,2575,0.9289,0.0633
CELL_015_2,CELL_024_0,-4.8,0.661,765,0.9006,0.0414
CELL_016_0,CELL_016_1,0.1,0.0,896,0.8829,0.0348
CELL_016_0,CELL_016_2,-4.9,0.0,4949,0.9663,0.0705
CELL_016_0,CELL_009_0,-5.9,0.868,3439,0.9227,0.0159
CELL_016_0,CELL_009_1,4.8,0.868,2038,0.9429,0.0219
CELL_016_0,CELL_009_2,-1.4,0.868,1187,0.9096,0.0288
CELL_016_0,CELL_007_0,-4.2,0.965,1419,0.9278,0.0395
CELL_016_0,CELL_007_1,-0.2,0.965,680,0.9197,0.0761
CELL_016_0,CELL_007_2,2.7,0.965,4111,0.9453,0.0237
CELL_016_0,CELL_013_0,-4.7,1.072,2545,0.8807,0.0377
CELL_016_0,CELL_013_1,4.1,1.072,3162,0.9684,0.0331
CELL_016_0,CELL_013_2,-2.0,1.072,4919,0.895,0.0324
CELL_016_0,CELL_001_0,5.4,1.108,1695,0.9327,0.0224
CELL_016_1,CELL_016_0,5.6,0.0,2437,0.9608,0.0543
CELL_016_1,CELL_016_2,5.6,0.0,2035,0.9158,0.0296
CELL_016_1,CELL_009_0,3.4,0.868,3040,0.8925,0.0495
CELL_016_1,CELL_009_1,1.1,0.868,4519,0.8998,0.0637
CELL_016_1,CELL_009_2,-5.7,0.868,3831,0.9837,0.0247
CELL_016_1,CELL_007_0,3.6,0.965,616,0.9701,0.0657
CELL_016_1,CELL_007_1,-1.1,0.965,4140,0.8953,0.0312
CELL_016_1,CELL_007_2,-3.0,0.965,1312,0.9587,0.0652
CELL_016_1,CELL_013_0,-5.1,1.072,4948,0.9327,0.0381
CELL_016_1,CELL_013_1,0.1,1.072,3476,0.9398,0.0654
CELL_016_1,CELL_013_2,-1.7,1.072,4448,0.9453,0.074
CELL_016_2,CELL_016_0,3.2,0.0,2958,0.8983,0.0529
CELL_016_2,CELL_016_1,0.8,0.0,3323,0.9863,0.0332
CELL_016_2,CELL_009_0,3.6,0.868,917,0.8812,0.0281
CELL_016_2,CELL_009_1,0.1,0.868,4299,0.9414,0.0581
CELL_016_2,CELL_009_2,-3.3,0.868,3114,0.923,0.0641
CELL_016_2,CELL_007_0,1.1,0.965,4149,0.8966,0.0798
CELL_016_2,CELL_007_1,-0.2,0.965,2470,0.9258,0.0773
CELL_016_2,CELL_007_2,-4.6,0.965,1210,0.9183,0.034
CELL_017_0,CELL_017_1,0.3,0.0,2903,0.9324,0.0407
CELL_017_0,CELL_017_2,2.4,0.0,2662,0.8874,0.0131
CELL_017_0,CELL_022_0,2.5,0.338,235,0.9734,0.0554
CELL_017_0,CELL_022_1,2.1,0.338,1396,0.9823,0.0618
CELL_017_0,CELL_022_2,0.2,0.338,4571,0.8976,0.0492
CELL_017_0,CELL_021_0,5.5,0.363,1949,0.9678,0.0541
CELL_017_0,CELL_021_1,-3.8,0.363,3590,0.9235,0.0616
CELL_017_0,CELL_021_2,4.6,0.363,3732,0.9451,0.0372
CELL_017_0,CELL_024_0,2.5,0.97,1735,0.9106,0.0593
CELL_017_1,CELL_017_0,0.9,0.0,4448,0.9006,0.0328
CELL_017_1,CELL_017_2,-0.5,0.0,2199,0.9538,0.0443
CELL_017_1,CELL_022_0,5.6,0.338,2617,0.9457,0.0528
CELL_017_1,CELL_022_1,1.0,0.338,2900,0.9187,0.0421
CELL_017_1,CELL_022_2,-3.9,0.338,2486,0.9811,0.0513
CELL_017_1,CELL_021_0,2.1,0.363,2615,0.893,0.0314
CELL_017_1,CELL_021_1,-3.8,0.363,1208,0.9362,0.0393
CELL_017_1,CELL_021_2,-4.3,0.363,3193,0.9265,0.0441
CELL_017_2,CELL_017_0,2.3,0.0,1469,0.941,0.0443
CELL_017_2,CELL_017_1,-4.3,0.0,2627,0.9726,0.0534
CELL_017_2,CELL_022_0,4.4,0.338,128,0.9333,0.0237
CELL_017_2,CELL_022_1,-1.4,0.338,4650,0.9356,0.0446
CELL_017_2,CELL_022_2,2.2,0.338,3454,0.9581,0.0411
CELL_017_2,CELL_021_0,-4.0,0.363,4681,0.8834,0.0633
CELL_017_2,CELL_021_1,-2.5,0.363,2301,0.9047,0.0302
CELL_017_2,CELL_021_2,3.4,0.363,4683,0.9617,0.0636
CELL_017_2,CELL_024_0,0.6,0.97,977,0.943,0.0288
CELL_017_2,CELL_024_1,0.5,0.97,3055,0.9396,0.063
CELL_017_2,CELL_024_2,3.1,0.97,3665,0.9401,0.0793
CELL_017_2,CELL_002_0,-4.8,1.241,2077,0.9127,0.08
CELL_018_0,CELL_018_1,-2.8,0.0,762,0.9283,0.0796
CELL_018_0,CELL_018_2,3.3,0.0,1991,0.9031,0.0616
CELL_018_0,CELL_023_0,2.3,0.178,3557,0.8983,0.0197
CELL_018_0,CELL_023_1,-3.5,0.178,1745,0.9686,0.0499
CELL_018_0,CELL_023_2,0.4,0.178,4939,0.9393,0.0327
CELL_018_0,CELL_002_0,2.4,0.437,2420,0.943,0.0767
CELL_018_0,CELL_002_1,0.2,0.437,830,0.8949,0.0625
CELL_018_0,CELL_002_2,-1.1,0.437,535,0.9892,0.0707
CELL_018_0,CELL_019_0,-4.5,0.818,1137,0.9075,0.0598
CELL_018_0,CELL_019_1,3.9,0.818,3267,0.9338,0.0504
CELL_018_0,CELL_019_2,-2.8,0.818,3443,0.9213,0.0153
CELL_018_1,CELL_018_0,-1.2,0.0,2329,0.9564,0.0714
CELL_018_1,CELL_018_2,-0.5,0.0,4048,0.916,0.0102
CELL_018_1,CELL_023_0,3.3,0.178,813,0.9604,0.0421
CELL_018_1,CELL_023_1,2.0,0.178,2984,0.9735,0.0657
CELL_018_1,CELL_023_2,-1.2,0.178,3569,0.9707,0.0446
CELL_018_1,CELL_002_0,-2.1,0.437,2373,0.9172,0.0505
CELL_018_1,CELL_002_1,0.8,0.437,4025,0.9667,0.0726
CELL_018_1,CELL_002_2,3.1,0.437,426,0.891,0.0649
CELL_018_2,CELL_018_0,-5.8,0.0,1344,0.9285,0.01
CELL_018_2,CELL_018_1,5.5,0.0,1707,0.9895,0.0737
CELL_018_2,CELL_023_0,4.6,0.178,2522,0.8975,0.0753
CELL_018_2,CELL_023_1,-2.7,0.178,3002,0.9075,0.036
CELL_018_2,CELL_023_2,4.8,0.178,1405,0.8857,0.0538
CELL_018_2,CELL_002_0,2.7,0.437,1968,0.9272,0.0164
CELL_018_2,CELL_002_1,-4.9,0.437,1798,0.9324,0.0193
CELL_018_2,CELL_002_2,-3.3,0.437,3695,0.881,0.0587
CELL_018_2,CELL_019_0,3.8,0.818,3509,0.9563,0.0434
CELL_018_2,CELL_019_1,-3.3,0.818,781,0.9604,0.0172
CELL_018_2,CELL_019_2,-2.2,0.818,2501,0.8951,0.0641
CELL_019_0,CELL_019_1,1.7,0.0,1220,0.8875,0.0494
CELL_019_0,CELL_019_2,1.3,0.0,1394,0.9284,0.0606
CELL_019_0,CELL_023_0,1.5,0.805,1290,0.9812,0.0531
CELL_019_0,CELL_023_1,-0.7,0.805,1829,0.8895,0.017
CELL_019_0,CELL_023_2,3.0,0.805,4879,0.9603,0.0346
CELL_019_0,CELL_018_0,-0.8,0.818,1195,0.9073,0.0551
CELL_019_0,CELL_018_1,-3.0,0.818,4973,0.946,0.0525
CELL_019_0,CELL_018_2,3.3,0.818,269,0.9733,0.0561
CELL_019_0,CELL_004_0,-2.4,0.879,4291,0.9468,0.0232
CELL_019_1,CELL_019_0,-2.5,0.0,497,0.9662,0.0656
CELL_019_1,CELL_019_2,-3.1,0.0,3211,0.8924,0.045
CELL_019_1,CELL_023_0,1.1,0.805,4377,0.9778,0.0108
CELL_019_1,CELL_023_1,-1.7,0.805,2642,0.8945,0.0703
CELL_019_1,CELL_023_2,0.8,0.805,3043,0.9401,0.0221
CELL_019_1,CELL_018_0,-0.3,0.818,647,0.8818,0.0147
CELL_019_1,CELL_018_1,-2.9,0.818,376,0.9815,0.0764
CELL_019_1,CELL_018_2,-1.2,0.818,2396,0.9491,0.0451
CELL_019_1,CELL_004_0,-1.0,0.879,3345,0.8891,0.0476
CELL_019_1,CELL_004_1,1.4,0.879,2323,0.8892,0.0155
CELL_019_1,CELL_004_2,5.1,0.879,1322,0.939,0.0374
CELL_019_2,CELL_019_0,-2.3,0.0,3633,0.9603,0.0693
CELL_019_2,CELL_019_1,-5.3,0.0,756,0.9817,0.0181
CELL_019_2,CELL_023_0,1.3,0.805,500,0.914,0.0619
CELL_019_2,CELL_023_1,2.9,0.805,1028,0.8814,0.0196
CELL_019_2,CELL_023_2,-5.9,0.805,4116,0.9848,0.0466
CELL_019_2,CELL_018_0,3.4,0.818,2173,0.8984,0.0189
CELL_019_2,CELL_018_1,3.4,0.818,2251,0.9606,0.0183
CELL_019_2,CELL_018_2,4.8,0.818,2794,0.9688,0.029
CELL_020_0,CELL_020_1,-2.8,0.0,4773,0.949,0.0447
CELL_020_0,CELL_020_2,0.1,0.0,504,0.935,0.0497
CELL_020_0,CELL_010_0,-1.6,0.135,2139,0.9651,0.0726
CELL_020_0,CELL_010_1,2.1,0.135,994,0.9051,0.0456
CELL_020_0,CELL_010_2,-5.5,0.135,150,0.9069,0.043
CELL_020_0,CELL_011_0,-1.4,0.418,1279,0.8997,0.0772
CELL_020_0,CELL_011_1,-5.6,0.418,3485,0.9047,0.0274
CELL_020_0,CELL_011_2,5.0,0.418,2670,0.9098,0.0155
CELL_020_1,CELL_020_0,-4.6,0.0,481,0.8997,0.0663
CELL_020_1,CELL_020_2,5.8,0.0,3334,0.8876,0.0426
CELL_020_1,CELL_010_0,-2.6,0.135,2595,0.916,0.0487
CELL_020_1,CELL_010_1,-5.9,0.135,1693,0.9121,0.0649
CELL_020_1,CELL_010_2,2.9,0.135,2037,0.931,0.0514
CELL_020_1,CELL_011_0,-0.1,0.418,1650,0.9606,0.0483
CELL_020_1,CELL_011_1,3.6,0.418,1283,0.8807,0.0387
CELL_020_1,CELL_011_2,-3.2,0.418,2887,0.95,0.0585
CELL_020_1,CELL_005_0,-5.9,1.133,2794,0.8802,0.056
CELL_020_1,CELL_005_1,4.2,1.133,2569,0.8914,0.0471
CELL_020_2,CELL_020_0,-1.0,0.0,540,0.987,0.02
CELL_020_2,CELL_020_1,-2.6,0.0,409,0.9813,0.0728
CELL_020_2,CELL_010_0,0.2,0.135,3101,0.9304,0.0624
CELL_020_2,CELL_010_1,1.0,0.135,4190,0.8947,0.0674
CELL_020_2,CELL_010_2,-5.1,0.135,4701,0.8869,0.0564
CELL_020_2,CELL_011_0,-4.4,0.418,2439,0.9087,0.0321
CELL_020_2,CELL_011_1,3.6,0.418,2722,0.915,0.029
CELL_020_2,CELL_011_2,-5.1,0.418,1710,0.895,0.0639
CELL_020_2,CELL_005_0,-4.7,1.133,915,0.8981,0.0426
CELL_021_0,CELL_021_1,-4.6,0.0,2985,0.9861,0.0245
CELL_021_0,CELL_021_2,-2.3,0.0,2220,0.9738,0.0163
CELL_021_0,CELL_017_0,3.7,0.363,2542,0.9709,0.0588
CELL_021_0,CELL_017_1,-5.5,0.363,2735,0.8963,0.0598
CELL_021_0,CELL_017_2,5.6,0.363,3296,0.9365,0.0574
CELL_021_0,CELL_022_0,-2.9,0.687,1474,0.8834,0.0383
CELL_021_0,CELL_022_1,-0.6,0.687,4556,0.9075,0.0423
CELL_021_0,CELL_022_2,3.6,0.687,1195,0.8934,0.0143
CELL_021_0,CELL_024_0,3.4,0.801,1870,0.8944,0.0677
CELL_021_0,CELL_024_1,-1.5,0.801,738,0.9441,0.0281
CELL_021_0,CELL_024_2,3.8,0.801,228,0.9897,0.0238
CELL_021_1,CELL_021_0,3.7,0.0,803,0.9796,0.0681
CELL_021_1,CELL_021_2,-2.0,0.0,399,0.9837,0.0135
CELL_021_1,CELL_017_0,5.1,0.363,3598,0.9704,0.0376
CELL_021_1,CELL_017_1,-5.6,0.363,3545,0.899,0.025
CELL_021_1,CELL_017_2,-3.8,0.363,2342,0.9291,0.0204
CELL_021_1,CELL_022_0,1.4,0.687,2063,0.9512,0.0449
CELL_021_1,CELL_022_1,4.6,0.687,3974,0.8867,0.0296
CELL_021_1,CELL_022_2,-4.4,0.687,1683,0.9507,0.0658
CELL_021_1,CELL_024_0,-3.0,0.801,4503,0.9674,0.0793
CELL_021_1,CELL_024_1,3.4,0.801,2991,0.9328,0.0647
CELL_021_1,CELL_024_2,-1.9,0.801,4683,0.9353,0.0372
CELL_021_2,CELL_021_0,-5.7,0.0,4941,0.9041,0.0727
CELL_021_2,CELL_021_1,3.3,0.0,529,0.969,0.043
CELL_021_2,CELL_017_0,-1.7,0.363,4834,0.99,0.0782
CELL_021_2,CELL_017_1,-4.8,0.363,2025,0.9093,0.0671
CELL_021_2,CELL_017_2,5.0,0.363,508,0.964,0.0763
CELL_021_2,CELL_022_0,0.9,0.687,3231,0.919,0.0687
CELL_021_2,CELL_022_1,4.1,0.687,1492,0.906,0.0323
CELL_021_2,CELL_022_2,2.9,0.687,2989,0.9805,0.012
CELL_021_2,CELL_024_0,2.4,0.801,4700,0.942,0.0494
CELL_022_0,CELL_022_1,4.0,0.0,4082,0.9396,0.0223
CELL_022_0,CELL_022_2,-5.5,0.0,510,0.9056,0.0253
CELL_022_0,CELL_017_0,0.3,0.338,55,0.9165,0.053
CELL_022_0,CELL_017_1,3.7,0.338,2841,0.9589,0.0743
CELL_022_0,CELL_017_2,4.1,0.338,2700,0.8866,0.0203
CELL_022_0,CELL_021_0,2.5,0.687,1210,0.9652,0.0693
CELL_022_0,CELL_021_1,4.3,0.687,644,0.9211,0.0759
CELL_022_0,CELL_021_2,-1.3,0.687,877,0.917,0.0326
CELL_022_0,CELL_024_0,5.7,1.277,3628,0.9671,0.0772
CELL_022_1,CELL_022_0,-3.9,0.0,4653,0.9563,0.075
CELL_022_1,CELL_022_2,3.4,0.0,1878,0.9532,0.067
CELL_022_1,CELL_017_0,-1.5,0.338,2462,0.894,0.061
CELL_022_1,CELL_017_1,5.4,0.338,4742,0.9231,0.0796
CELL_022_1,CELL_017_2,5.6,0.338,315,0.9,0.0323
CELL_022_1,CELL_021_0,3.7,0.687,1859,0.9504,0.0173
CELL_022_1,CELL_021_1,-0.0,0.687,2762,0.962,0.0267
CELL_022_1,CELL_021_2,5.8,0.687,1425,0.95,0.0774
CELL_022_1,CELL_024_0,3.9,1.277,2800,0.9291,0.0286
CELL_022_1,CELL_024_1,-3.0,1.277,605,0.9186,0.0651
CELL_022_2,CELL_022_0,-5.4,0.0,3639,0.9606,0.0778
CELL_022_2,CELL_022_1,4.6,0.0,4089,0.977,0.0346
CELL_022_2,CELL_017_0,-1.5,0.338,3977,0.9668,0.0505
CELL_022_2,CELL_017_1,3.1,0.338,1897,0.8979,0.0152
CELL_022_2,CELL_017_2,4.1,0.338,2465,0.8822,0.0283
CELL_022_2,CELL_021_0,-4.7,0.687,2850,0.8987,0.0363
CELL_022_2,CELL_021_1,2.8,0.687,4531,0.9836,0.0785
CELL_022_2,CELL_021_2,-1.9,0.687,4004,0.9575,0.0402
CELL_023_0,CELL_023_1,1.3,0.0,3606,0.8973,0.0171
CELL_023_0,CELL_023_2,-3.5,0.0,1606,0.925,0.0488
CELL_023_0,CELL_018_0,5.1,0.178,4474,0.9092,0.0297
CELL_023_0,CELL_018_1,-3.1,0.178,456,0.9232,0.0485
CELL_023_0,CELL_018_2,-0.1,0.178,496,0.9197,0.0399
CELL_023_0,CELL_002_0,-2.5,0.541,4966,0.9328,0.0168
CELL_023_0,CELL_002_1,-3.5,0.541,2440,0.9875,0.0431
CELL_023_0,CELL_002_2,-4.6,0.541,3306,0.9318,0.0726
CELL_023_0,CELL_004_0,-2.8,0.727,4507,0.9226,0.036
CELL_023_1,CELL_023_0,-1.6,0.0,3701,0.8849,0.0408
CELL_023_1,CELL_023_2,-2.8,0.0,2250,0.9421,0.0206
CELL_023_1,CELL_018_0,2.4,0.178,842,0.8894,0.0341
CELL_023_1,CELL_018_1,0.5,0.178,4881,0.905,0.0143
CELL_023_1,CELL_018_2,-1.4,0.178,4330,0.926,0.0475
CELL_023_1,CELL_002_0,4.4,0.541,3939,0.943,0.0265
CELL_023_1,CELL_002_1,-2.4,0.541,3284,0.9793,0.06
CELL_023_1,CELL_002_2,0.0,0.541,4283,0.968,0.0574
CELL_023_1,CELL_004_0,1.4,0.727,1035,0.9844,0.0414
CELL_023_1,CELL_004_1,5.4,0.727,1419,0.9869,0.0666
CELL_023_1,CELL_004_2,-4.5,0.727,3518,0.8886,0.0578
CELL_023_2,CELL_023_0,6.0,0.0,1261,0.9718,0.0281
CELL_023_2,CELL_023_1,4.9,0.0,598,0.8896,0.0489
CELL_023_2,CELL_018_0,0.6,0.178,2312,0.9372,0.0742
CELL_023_2,CELL_018_1,-5.9,0.178,4863,0.9375,0.0394
CELL_023_2,CELL_018_2,-1.0,0.178,1264,0.9423,0.0508
CELL_023_2,CELL_002_0,5.6,0.541,870,0.9817,0.0494
CELL_023_2,CELL_002_1,-4.8,0.541,2393,0.9754,0.0716
CELL_023_2,CELL_002_2,4.5,0.541,2213,0.9221,0.044
CELL_023_2,CELL_004_0,1.3,0.727,356,0.8989,0.0382
CELL_024_0,CELL_024_1,1.3,0.0,3340,0.8843,0.0723
CELL_024_0,CELL_024_2,-2.0,0.0,1996,0.8854,0.0433
CELL_024_0,CELL_006_0,-2.8,0.451,3101,0.8822,0.0672
CELL_024_0,CELL_006_1,-2.4,0.451,2346,0.9727,0.0701
CELL_024_0,CELL_006_2,2.2,0.451,1917,0.8948,0.0782
CELL_024_0,CELL_014_0,-0.7,0.592,2678,0.9096,0.0392
CELL_024_0,CELL_014_1,1.7,0.592,1589,0.9286,0.0739
CELL_024_0,CELL_014_2,-1.1,0.592,4018,0.9635,0.0707
CELL_024_0,CELL_015_0,3.9,0.661,4271,0.9671,0.0146
CELL_024_0,CELL_015_1,2.5,0.661,3354,0.8949,0.0696
CELL_024_0,CELL_015_2,4.6,0.661,287,0.8991,0.0713
CELL_024_0,CELL_002_0,-3.6,0.681,522,0.9074,0.042
CELL_024_1,CELL_024_0,2.5,0.0,2294,0.9205,0.0425
CELL_024_1,CELL_024_2,-1.2,0.0,1064,0.9549,0.0269
CELL_024_1,CELL_006_0,-0.1,0.451,3704,0.8995,0.0709
CELL_024_1,CELL_006_1,1.0,0.451,2915,0.9179,0.0686
CELL_024_1,CELL_006_2,-2.9,0.451,790,0.9114,0.0371
CELL_024_1,CELL_014_0,-4.0,0.592,4737,0.9658,0.025
CELL_024_1,CELL_014_1,-3.3,0.592,1894,0.9545,0.0288
CELL_024_1,CELL_014_2,-1.1,0.592,214,0.9751,0.0777
CELL_024_1,CELL_015_0,2.2,0.661,3933,0.9803,0.0553
CELL_024_1,CELL_015_1,1.2,0.661,119,0.9046,0.0526
CELL_024_2,CELL_024_0,2.6,0.0,2305,0.9266,0.0364
CELL_024_2,CELL_024_1,-1.8,0.0,2114,0.904,0.0312
CELL_024_2,CELL_006_0,0.2,0.451,3303,0.9443,0.0105
CELL_024_2,CELL_006_1,6.0,0.451,3115,0.9418,0.0516
CELL_024_2,CELL_006_2,-2.6,0.451,935,0.933,0.0335
CELL_024_2,CELL_014_0,-2.7,0.592,2713,0.9748,0.0283
CELL_024_2,CELL_014_1,2.5,0.592,2497,0.9007,0.0462
CELL_024_2,CELL_014_2,-3.1,0.592,515,0.9686,0.0662
CELL_024_2,CELL_015_0,1.2,0.661,2668,0.9549,0.0605
CELL_024_2,CELL_015_1,1.9,0.661,2471,0.9085,0.0393
